Virus name	GISAID ID	Date	Location
DP0005	EPI_ISL_416565	2020-02-15	DP
DP0027	EPI_ISL_416566	2020-02-15	DP
DP0037	EPI_ISL_416567	2020-02-15	DP
DP0058	EPI_ISL_416568	2020-02-15	DP
DP0059	EPI_ISL_416569	2020-02-15	DP
DP0065	EPI_ISL_416570	2020-02-15	DP
DP0077	EPI_ISL_416571	2020-02-15	DP
DP0078	EPI_ISL_416572	2020-02-15	DP
DP0104	EPI_ISL_416573	2020-02-15	DP
DP0107	EPI_ISL_416574	2020-02-15	DP
DP0121	EPI_ISL_416575	2020-02-15	DP
DP0133	EPI_ISL_416576	2020-02-15	DP
DP0134	EPI_ISL_416577	2020-02-15	DP
DP0152	EPI_ISL_416578	2020-02-15	DP
DP0158	EPI_ISL_416579	2020-02-15	DP
DP0184	EPI_ISL_416580	2020-02-15	DP
DP0190	EPI_ISL_416581	2020-02-15	DP
DP0191	EPI_ISL_416582	2020-02-15	DP
DP0196	EPI_ISL_416583	2020-02-15	DP
DP0200	EPI_ISL_416584	2020-02-15	DP
DP0236	EPI_ISL_416585	2020-02-16	DP
DP0274	EPI_ISL_416586	2020-02-16	DP
DP0278	EPI_ISL_416587	2020-02-16	DP
DP0286	EPI_ISL_416588	2020-02-16	DP
DP0287	EPI_ISL_416589	2020-02-16	DP
DP0289	EPI_ISL_416590	2020-02-16	DP
DP0290	EPI_ISL_416591	2020-02-16	DP
DP0294	EPI_ISL_416592	2020-02-16	DP
DP0311	EPI_ISL_416593	2020-02-16	DP
DP0319	EPI_ISL_416594	2020-02-16	DP
DP0328	EPI_ISL_416595	2020-02-16	DP
DP0344	EPI_ISL_416596	2020-02-16	DP
DP0346	EPI_ISL_416597	2020-02-16	DP
DP0357	EPI_ISL_416598	2020-02-16	DP
DP0361	EPI_ISL_416599	2020-02-16	DP
DP0438	EPI_ISL_416600	2020-02-16	DP
DP0457	EPI_ISL_416601	2020-02-16	DP
DP0462	EPI_ISL_416602	2020-02-16	DP
DP0464	EPI_ISL_416603	2020-02-16	DP
DP0476	EPI_ISL_416604	2020-02-16	DP
DP0481	EPI_ISL_416605	2020-02-16	DP
DP0482	EPI_ISL_416606	2020-02-16	DP
